client_id,age,sexe,ville,profession,salaire,anciennete,nombre_commandes,depenses_totales,derniere_commande,satisfaction,churn
1,25,M,Casablanca,Ingénieur,5000,2,8,4200,2026-05-10,8,0
2,31,F,Rabat,Comptable,6500,5,15,9000,2026-05-15,9,0
3,28,M,Marrakech,Développeur,4500,3,4,1800,2026-03-10,5,1
4,35,F,Casablanca,Manager,8000,7,20,15000,2026-06-01,9,0
5,,M,Rabat,Commercial,9000,10,25,21000,2026-05-28,8,0
6,29,F,Tanger,Analyste,5200,4,7,3500,2026-02-20,4,1
7,38,M,CASABLANCA,Ingénieur,7500,8,18,12000,2026-05-20,7,0
8,N/A,F,Marrakech,Développeur,4800,2,5,2200,2026-01-15,3,1
9,45,M,Rabat,Directeur,10000,12,30,30000,2026-06-10,10,0
10,33,F, Tanger ,Analyste,6200 DH,6,9,5000,2026-03-18,5,1
11,27,M,Casablanca,Commercial,4700,1,3,1200,2026-01-20,4,1
12,52,F,Rabat,Manager,11000,15,28,27000,2026-06-15,9,0
13,24,M,Marrakech,Développeur,4300,1,2,900,2026-02-12,3,1
14,40,F,Casablanca,Ingénieur,8500,9,22,17000,2026-06-05,8,0
14,40,F,Casablanca,Ingénieur,8500,9,22,17000,2026-06-05,8,0
15,36,M,Tanger,Commercial,5800,5,10,6200,2026-04-10,6,1
16,30,F,Rabat,Analyste,6100,4,12,7600,2026-05-01,7,0
17,67,M,Casablanca,Directeur,12500,20,35,50000,2026-06-20,10,0
18,26,F,Marrakech,Commercial,4600,2,1,500,2026-01-05,2,1
19,34,M,Rabat,Ingénieur,7200,6,16,11000,2026-05-25,8,0
20,39,F,Tanger,Manager,7800,8,19,14500,2026-06-12,7,0
21,48,M,Casablanca,Commercial,6800,11,14,9800,2026-04-18,6,1
22,23,F,Rabat,Développeur,4200,1,2,800,2026-02-05,3,1
23,41,M,Marrakech,Ingénieur,8200,9,21,16000,2026-06-08,9,0
24,32,F,Tanger,Analyste,5600,3,11,6800,2026-04-22,6,1
25,37,M,Casablanca,Manager,7900,7,17,13000,2026-05-30,8,0
